Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2015,Montana,120,4854803,1031495,26.8976490252795,38871,2587451,43583,660524
Alabama,2015,Nebraska,339,4854803,1892059,15.648712917564,38871,2587451,50704,1302833
Alabama,2015,Nevada,539,4854803,2868531,30.5412530271869,38871,2587451,44290,1664658
Alabama,2015,New Hampshire,166,4854803,1337480,18.7425779288207,38871,2587451,54487,860657
Alabama,2015,New Jersey,193,4854803,8870312,14.237834845523,38871,2587451,61136,5303122
Alabama,2015,New Mexico,773,4854803,2090071,19.3491553431003,38871,2587451,38306,1092255
Alabama,2015,New York,2061,4854803,19657321,15.208170555399,38871,2587451,59235,12099185
Alabama,2015,North Carolina,3974,4854803,10037218,7.94015585266918,38871,2587451,41816,5695035
Alabama,2015,North Dakota,1162,4854803,755537,20.0220007332487,38871,2587451,53657,597642
Alabama,2015,Ohio,1513,4854803,11622315,8.51861258777688,38871,2587451,44386,6862127
Alabama,2015,Oklahoma,725,4854803,3910518,11.0393904009315,38871,2587451,44181,2287598
Alabama,2015,Oregon,593,4854803,4018542,35.5213487719158,38871,2587451,45133,2391112
Alabama,2015,Pennsylvania,2690,4854803,12789838,12.1184321152575,38871,2587451,50387,7510351
Alabama,2015,Rhode Island,43,4854803,1056886,17.6499276485593,38871,2587451,49901,627028
Alabama,2015,South Carolina,1968,4854803,4896006,6.03630154561345,38871,2587451,39413,2636738
Alabama,2015,South Dakota,103,4854803,854663,17.7552591495404,38871,2587451,48640,592591
Alabama,2015,Tennessee,7206,4854803,6595354,3.09086542353073,38871,2587451,42599,3859507
Alabama,2015,Texas,6469,4854803,27468531,12.5925259082707,38871,2587451,46555,16414591
Alabama,2015,Utah,362,4854803,2983626,25.6946488672117,38871,2587451,40874,1865926
Alabama,2015,Vermont,173,4854803,625810,18.1109646138954,38871,2587451,49348,432508
Alabama,2015,Virginia,4772,4854803,8367303,9.24245058021394,38871,2587451,52707,5060290
Alabama,2015,Washington,871,4854803,7167287,36.6310897003859,38871,2587451,53843,4199112
Alabama,2015,West Virginia,445,4854803,1843332,8.53620314180072,38871,2587451,37036,904242
Alabama,2015,Wisconsin,491,4854803,5762927,12.2642896797812,38871,2587451,46843,3624584
Alabama,2015,Wyoming,164,4854803,586389,23.1015547725307,38871,2587451,56745,406033
Alabama,2016,Arizona,1022,4866824,6944767,24.8817408146662,39509,2619796,40779,3645936
Alabama,2016,Arkansas,495,4866824,2991815,5.99456062204918,39509,2619796,40360,1629497
Alabama,2016,California,6611,4866824,39149186,33.0855664512805,39509,2619796,58074,23164907
Alabama,2016,Colorado,2177,4866824,5543844,19.7223165819368,39509,2619796,52431,3667987
Alabama,2016,Connecticut,566,4866824,3579830,16.6389979271702,39509,2619796,69886,2300038
Alabama,2016,Delaware,0,4866824,949989,12.9116523638172,39509,2619796,48781,578698
Alabama,2016,District of Columbia,97,4866824,687576,11.5610073218641,39509,2619796,77629,891545
Alabama,2016,Florida,16631,4866824,20627237,5.9891092977696,39509,2619796,46042,11673482
Alabama,2016,Georgia,23008,4866824,10308442,3.38468634544483,39509,2619796,42868,5971967
Alabama,2016,Idaho,212,4866824,1684036,30.1514969123515,39509,2619796,40527,976764
Alabama,2016,Illinois,3707,4866824,12821709,7.65107542935861,39509,2619796,52413,7799138
Alabama,2016,Indiana,1445,4866824,6637898,7.1391186758849,39509,2619796,43648,3847689
